"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Diagnoses excluding OS","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Diagnoses excluding OS","rss",43001.82967571651,43001.82967571651,"NA",20693.403508489922,"NA",14502.014065252051,"NA"
"Diagnoses excluding OS","bic",246.83457933778254,218.35291847561547,"NA",213.28910936032545,"NA",215.3674049840913,"NA"
"Diagnoses including OS","breakpoint1",NA,2016,"(2015, 2017)",2011,"(2007, 2012)",2007,"(2005, 2008)"
"Diagnoses including OS","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2014,"(2013, 2015)"
"Diagnoses including OS","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Diagnoses including OS","rss",84953.05150588375,84953.05150588375,"NA",44041.47570883414,"NA",37445.301990927335,"NA"
"Diagnoses including OS","bic",254.30755341395252,231.28918443804488,"NA",227.64012934446703,"NA",233.39068554545943,"NA"
"Annual new infections","breakpoint1",NA,2012,"(2011, 2013)",2010,"(2009, 2011)",2008,"(2007, 2009)"
"Annual new infections","breakpoint2",NA,NA,"NA",2016,"(2015, 2017)",2012,"(2011, 2013)"
"Annual new infections","breakpoint3",NA,NA,"NA",NA,"NA",2017,"(2016, 2018)"
"Annual new infections","rss",27705.558660560207,27705.558660560207,"NA",4819.430641119869,"NA",1296.2997958766496,"NA"
"Annual new infections","bic",256.55576432271386,210.00033610109614,"NA",185.60308491066348,"NA",169.48670571626963,"NA"
"Proportion diagnosed","breakpoint1",NA,2008,"(2007, 2009)",2008,"(2007, 2009)",2007,"(2006, 2008)"
"Proportion diagnosed","breakpoint2",NA,NA,"NA",2019,"(2016, 2020)",2016,"(2015, 2017)"
"Proportion diagnosed","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(NA, NA)"
"Proportion diagnosed","rss",2.6259049247634244e-5,2.6259049247634244e-5,"NA",1.0282327324824518e-5,"NA",7.483531838913517e-6,"NA"
"Proportion diagnosed","bic",-144.2750558896983,-184.7605404741016,"NA",-193.74132020169125,"NA",-190.94471701470542,"NA"
"Proportion diagnosed treated","breakpoint1",NA,2012,"(2011, 2013)",2007,"(2006, 2008)",2006,"(2005, 2007)"
"Proportion diagnosed treated","breakpoint2",NA,NA,"NA",2015,"(2014, 2016)",2009,"(2008, 2010)"
"Proportion diagnosed treated","breakpoint3",NA,NA,"NA",NA,"NA",2015,"(2014, 2016)"
"Proportion diagnosed treated","rss",0.004572325756423716,0.004572325756423716,"NA",0.0010054660035514731,"NA",3.0280458072850613e-4,"NA"
"Proportion diagnosed treated","bic",-73.07199646377359,-86.72497488763695,"NA",-106.66850456635251,"NA",-120.637443856056,"NA"
"Proportion treated suppressed","breakpoint1",NA,2010,"(2009, 2011)",2006,"(2005, 2007)",2006,"(2005, 2007)"
"Proportion treated suppressed","breakpoint2",NA,NA,"NA",2013,"(2012, 2014)",2012,"(2011, 2013)"
"Proportion treated suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2018,"(2017, 2020)"
"Proportion treated suppressed","rss",0.004633493331361517,0.004633493331361517,"NA",5.504088724545045e-4,"NA",2.9343422585617065e-4,"NA"
"Proportion treated suppressed","bic",-57.943389980838276,-86.47248219445059,"NA",-118.1168594076886,"NA",-121.23469247618365,"NA"
"Proportion suppressed overall","breakpoint1",NA,2012,"(2010, 2013)",2007,"(2006, 2008)",2006,"(2005, 2007)"
"Proportion suppressed overall","breakpoint2",NA,NA,"NA",2015,"(2014, 2016)",2009,"(NA, NA)"
"Proportion suppressed overall","breakpoint3",NA,NA,"NA",NA,"NA",2014,"(2013, 2015)"
"Proportion suppressed overall","rss",0.0034571437247841487,0.0034571437247841487,"NA",0.0013535288038010946,"NA",6.355063269442705e-4,"NA"
"Proportion suppressed overall","bic",-69.39456593368581,-92.03698080156633,"NA",-101.02048872493248,"NA",-106.55209031149198,"NA"
"Yearly diagnosed fraction","breakpoint1",NA,2019,"(2018, 2020)",2010,"(2009, 2017)",2007,"(2004, 2008)"
"Yearly diagnosed fraction","breakpoint2",NA,NA,"NA",2019,"(2018, 2020)",2012,"(2011, 2015)"
"Yearly diagnosed fraction","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2018, 2020)"
"Yearly diagnosed fraction","rss",0.0028156131655755986,0.0028156131655755986,"NA",0.001875254973319803,"NA",0.0011746016636587705,"NA"
"Yearly diagnosed fraction","bic",-87.82022284716646,-95.93697165311673,"NA",-94.82592774754096,"NA",-94.88110636417036,"NA"
"Case detection rate","breakpoint1",NA,2019,"(2018, 2020)",2007,"(2006, 2008)",2007,"(2006, 2008)"
"Case detection rate","breakpoint2",NA,NA,"NA",2019,"(2017, 2020)",2016,"(2011, 2017)"
"Case detection rate","breakpoint3",NA,NA,"NA",NA,"NA",2019,"(2016, 2020)"
"Case detection rate","rss",0.32365908886548245,0.32365908886548245,"NA",0.14860407938109743,"NA",0.12320560805172594,"NA"
"Case detection rate","bic",11.179824777882441,-5.791268195292062,"NA",-11.74764973454024,"NA",-6.475522063736058,"NA"
"Incidence prevalence ratio","breakpoint1",NA,2010,"(2009, 2011)",2008,"(2007, 2009)",2006,"(2005, 2007)"
"Incidence prevalence ratio","breakpoint2",NA,NA,"NA",2013,"(2012, 2014)",2010,"(2009, 2011)"
"Incidence prevalence ratio","breakpoint3",NA,NA,"NA",NA,"NA",2015,"(2014, 2016)"
"Incidence prevalence ratio","rss",1.4165325452573075e-5,1.4165325452573075e-5,"NA",2.9560575140855446e-6,"NA",1.0452850151184003e-6,"NA"
"Incidence prevalence ratio","bic",-141.99546681198365,-196.48759800066406,"NA",-217.42615339835476,"NA",-228.34460698428632,"NA"
"Incidence mortality ratio","breakpoint1",NA,2015,"(2014, 2018)",2011,"(NA, NA)",2011,"(NA, NA)"
"Incidence mortality ratio","breakpoint2",NA,NA,"NA",2014,"(NA, NA)",2014,"(NA, NA)"
"Incidence mortality ratio","breakpoint3",NA,NA,"NA",NA,"NA",2017,"(2016, 2018)"
"Incidence mortality ratio","rss",25.372588189190683,25.372588189190683,"NA",18.659893595808647,"NA",10.879584396699942,"NA"
"Incidence mortality ratio","bic",82.87808613660793,77.08167586876698,"NA",80.0764278398089,"NA",78.65946420305653,"NA"
