"indicator","valueStart","valueEnd","breakpoints","rate_ratios"
"Percentage treated suppressed","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·013 (1·012‒1·014)"
"Percentage suppressed overall","29·9% (0‒0%)","86·7% (0‒0%)","2014·5 (2014·2‒2014·9)","1·082 (1·08‒1·085)"
"Percentage suppressed overall","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","1·021 (1·018‒1·024)"
"Yearly diagnosed fraction","0·27 (0·26‒0·28)","0·22 (0·19‒0·26)","2008·6 (2006·9‒2010·3)","0·971 (0·953‒0·989)"
"Yearly diagnosed fraction","0 (0‒0)","0 (0‒0)","2015·5 (2014·5‒2016·6)","1·017 (1·006‒1·028)"
"Yearly diagnosed fraction","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·952 (0·941‒0·964)"
"Case detection rate","1 (0·96‒1·02)","2·46 (1·73‒5·17)","2009·3 (2009·1‒2009·6)","0·958 (0·953‒0·963)"
"Case detection rate","0 (0‒0)","0 (0‒0)","2020·9 (2020·8‒2021)","1·049 (1·047‒1·052)"
"Case detection rate","0 (0‒0)","0 (0‒0)","0 (0‒0)","1·623 (1·56‒1·69)"
"Incidence prevalence ratio","6% (5·5‒6·6%)","0·8% (0·3‒1·3%)","2009·4 (2009·3‒2009·6)","0·995 (0·994‒0·997)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","2014·8 (2014·6‒2014·9)","0·937 (0·935‒0·939)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","2019·6 (2019·6‒2019·7)","0·866 (0·864‒0·868)"
"Incidence prevalence ratio","0% (0‒0%)","0% (0‒0%)","0 (0‒0)","0·672 (0·667‒0·677)"
"Incidence mortality ratio","7·59 (4·96‒11·72)","0·88 (0·28‒1·9)","2015 (2013·9‒2016·1)","1·005 (0·985‒1·025)"
"Incidence mortality ratio","0 (0‒0)","0 (0‒0)","2020 (2019‒2021)","0·813 (0·761‒0·869)"
"Incidence mortality ratio","0 (0‒0)","0 (0‒0)","0 (0‒0)","0·587 (0·504‒0·683)"
